Primary Song Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Alternative Title,General Summary,Main Location,Composer (if known),Top-Level Identifier,Related Songs,Refs,LV Version Identifier,Version Title,Version Alternative Title,Version Summary,LanguageEnglish,LanguageGaelic,LanguageScots,LanguageOther,LV Singer ID,Singer First Name,Singer Surname,Singer Native Area,Singer Native Latitude,Singer Native Longitude,Singer Other Area,Singer Other Latitude,Singer Other Longitude,Collector,Date Collected,Source,Location 1,Loc. 1 Lat.,Loc. 1 Long.,Location 2,Loc. 2 Lat.,Loc. 2 Long.,Location 3,Loc. 3 Lat.,Loc. 3 Long.,Roud,Greig-Duncan,Child,Laws,ItemNote,Hyperlink,Tag cloud,Add lyrics,Photo?
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.001,The Cruel Mother/The Willow Tree,,"Antitheses in supernatural song; the symbolism of colour; anecdote about Travellers' reaction to purple.

[Beginning lost.] Stanley Robertson comments on the antithesis between the thorn and the rowan in 'The Cruel Mother' and sings a verse. The meaning of the colour green is discussed, and Stanley sings some lines from 'The Willow Tree', where green willow is worn as a sign of mourning. 

Old Travellers wore purple rather than black as the colour of mourning. David Clement tells an anecdote about an Irish friend who liked to wear purple. When he turned up to meet some Travellers in Kintyre they were terrified of him: they thought he was the Devil.",TRUE,FALSE,FALSE,FALSE,ID012,David,Clement,Dunlop,55.712608,-4.532135,,,,Barbara McDermitt & David Clement,1979.02.16,School of Scottish Studies Sound Archive SA1979.21.A1,Dunlop,55.712608,-4.532135,,,,,,,9,193; 194; 1910,20,,"The dialogue song 'The Willow Tree' (beginning ""How now, shepherd? What means that"") is found in early 17th-century Scottish and English collections, and in the Skene Manuscript; it also appears later in Percy's 'Reliques of Ancient English Poetry' (1765).

See:
'Reliques of Ancient English Poetry' vol. 2 (T. Percy, 1906) pp. 270-271
'A Pedlar's Pack of Ballads and Songs' (J. Maidment & W. H. Logan, 1869) pp. 349-350
'The Ballad Literature and Popular Music of the Olden Time' vol. 1 (W. Chappell, 1855) p. 377",http://www.tobarandualchais.co.uk/fullrecord/64467/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.002,The Cruel Mither,,Infanticide ballad in which a mother kills her newborn babies; their ghosts later appear and condemn her to Hell.,FALSE,FALSE,TRUE,FALSE,ID035,Cy,Laurie,Cambusnethan,55.779741,-3.895239,,,,Peter R. Cooke,1970.08.22,School of Scottish Studies Sound Archive SA1970.178,Cambusnethan,55.779741,-3.895239,,,,,,,9,193; 194; 1910,20,,Recorded at a Scots song competition in Blairgowrie Town Hall.,http://www.tobarandualchais.co.uk/fullrecord/89099/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.003,The Cruel Mither,,"The woman has courted her father's clerk but he has betrayed her. She gives birth to twin boys, stabs them, buries them under a marble stone, and goes home. She looks out, sees two little boys playing and tells them if they were hers she would dress them in silk. They tell her she is their mother and predict her fate, ending in the caves of Hell.",FALSE,FALSE,TRUE,FALSE,ID053,Gordeanna,McCulloch,Rutherglen,55.828972,-4.224269,,,,Norman Buchan,1964.09.01,School of Scottish Studies Sound Archive SA1964.67.A5,Rutherglen,55.828972,-4.224269,,,,,,,9,193; 194; 1910,20,,15 verses.,http://www.tobarandualchais.co.uk/fullrecord/24289/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.004,The Cruel Mither,,Infanticide ballad in which a mother kills her newborn baby. His ghost later appears and condemns her.,FALSE,FALSE,TRUE,FALSE,ID057,Jo,Miller,St John's Town of Dalry,55.106801,-4.162555,Stirling,56.116523,-3.936903,Jo Miller,1985.03.08,School of Scottish Studies Sound Archive SA1985.58.A2,St John's Town of Dalry,55.106801,-4.162555,Stirling,56.116523,-3.936903,,,,9,193; 194; 1910,20,,Guitar accompaniment.,http://www.tobarandualchais.co.uk/fullrecord/81079/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.005,The Cruel Mother,,"In Stanley Robertson's mother's version of the ballad, 'The Cruel Mother', which he describes as a witchcraft ballad, a church-going girl fell in love with a laird of the black arts and became pregnant. He persuaded her to sacrifice the baby and she found no peace afterwards. She saw the baby's ghost, and it said it was being cared for in Heaven while she would burn in Hell. In some versions there is hope that she will be redeemed after she has gone through Hell. Stanley contrasts Lizzie [Higgins]'s version with his mother's, which he says no one knows:

She's lain her fit against a thorn,
The green leaves in the valley o,
A bonnie baby has she born
An the roddens grow aroonie o.

Bonnie bairnie smiles sae sweet,
The green leaves in the valley o,
Ye'll soon be smilin at my feet
An the roddens grow aroonie o.",FALSE,FALSE,TRUE,FALSE,ID075,Stanley,Robertson,Aberdeen,57.149717,-2.094278,,,,Barbara McDermitt,1979.07.07,School of Scottish Studies Sound Archive SA1979.133.B4b,Aberdeen,57.149717,-2.094278,,,,,,,9,193; 194; 1910,20,,"Two verses only. Fragment of Child ballad no. 20, 'The Cruel Mother'.",http://www.tobarandualchais.co.uk/fullrecord/67500/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.006,The Cruel Mother,,"In this ballad, a young woman kills her two babies immediately after their birth. She later sees two children playing ball and tells them she wishes they belonged to her. They reveal themselves to be the ghosts of the two murdered children; they are in Heaven, but she will be going to Hell. 

Vic Smith likes this version as it looks at the anguish of the mother.",FALSE,FALSE,TRUE,FALSE,ID082,Vic,Smith,Edinburgh,55.953252,-3.188267,,,,Ailie Edmunds Munro,1973.09.08,School of Scottish Studies Sound Archive SA1973.112.A2b,Edinburgh,55.953252,-3.188267,,,,,,,9,193; 194; 1910,20,,"7 verses of 4 lines (couplets with interlinear refrain).

See:
Greig-Duncan vol. 2, pp. 31-35. no. 193
'Scotland Sings' (E. MacColl, 1953) p. 7
'Traveller's Joy' (M. Yates, 2006) pp. 58-59
'Scottish Ballads' (E. Lyle, 1994) pp. 248-249
'Bothy Songs & Ballads' (J. Ord, 1930) pp. 459-460
'Ballads of Scotland' vol. 2 (W. E. Aytoun, 1858) pp. 366-368
'Minstrelsy Ancient & Modern' (W. Motherwell, 1827) pp. 161-162
'Traditional Ballad Airs' vol. 1 (W. Christie, 1876) pp. 106-107
'Everyman's Book of British Ballads' (R. Palmer, 1980) pp. 54-55
'Ancient Scottish Ballads' (G. R. Kinloch, 1827) pp. 44-48, 272
'Ancient & Modern Scottish Songs' vol. 2 (D. Herd, 1869, 1973) pp. 237-238
'Last Leaves of Traditional Ballads' (A. Keith & G. Greig, 1925) pp. 21-23
'Ancient Ballads and Songs' vol. 2 (P. Buchan, 1828) pp. 207-209, 211-214
'The Scots Musical Museum' vol. 4 (J. Johnson & R. Burns, 1853) p. 331, no. 320
'Andrew Crawfurd's Collection of Ballads & Songs' (E. Lyle, 1975) vol. 1, pp. 36-38; vol. 2, pp. 92-94
'Traditional Tunes of the Child Ballads' vol. 1 (B. H. Bronson & F. J. Child, 1959) pp. 276-296",http://www.tobarandualchais.co.uk/fullrecord/67142/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.007,Story of a mother who killed her babies; talk of the ballad...,,"Story of a mother who killed her babies; talk of the ballad 'The Cruel Mother'.

Lucy Stewart heard a story long ago of a woman who threw her babies into the pigsty, and the pigs ate them. The story in the ballad 'The Cruel Mother' is different: a wealthy woman chokes her children and buries them. Lucy recites the last two verses of the song.",FALSE,FALSE,TRUE,FALSE,ID087,Lucy,Stewart,"Fetterangus, Aberdeenshire",57.553105,-2.015331,,,,"Rosalind MacAskill, Linda Williamson & Alison McMorland",1975.04,School of Scottish Studies Sound Archive SA1975.148.B6,"Fetterangus, Aberdeenshire",57.553105,-2.015331,,,,,,,9,193; 194; 1910,20,,"See:
Greig-Duncan vol. 2, pp. 31-35
Ord pp. 459-460
'Scotland Sings' (E. MacColl, 1953) p. 7
'Traveller's Joy' (M. Yates, 2006) pp. 58-59
'Scottish Ballads' (E. Lyle, 1994) pp. 248-249
'Ballads of Scotland' vol. 2 (W. E. Aytoun, 1858) pp. 366-368
'Minstrelsy Ancient & Modern' (W. Motherwell, 1827) pp. 161-162
'Traditional Ballad Airs' vol.1 (W. Christie, 1876) pp. 106-107
'Everyman's Book of British Ballads' (R. Palmer, 1980) pp. 54-55
'Ancient Scottish Ballads' (G. R. Kinloch, 1827) pp. 44-48, 272
'Ancient & Modern Scottish Songs' vol. 2 (D. Herd, 1869, 1973) pp. 237-238
'Last Leaves of Traditional Ballads' (A. Keith & G. Greig, 1925) pp. 21-23
'Ancient Ballads and Songs' vol. 2 (P. Buchan, 1828) pp. 207-209, 211-214
'The Scots Musical Museum' vol. 4 (J. Johnson & R. Burns, 1853) p. 331, no. 320
'Andrew Crawfurd's Collection of Ballads & Songs' vol. 1 (E. Lyle, 1975) pp. 36-38
'Andrew Crawfurd's Collection of Ballads & Songs' vol. 2 (E. Lyle, 1996) pp. 92-94
'Traditional Tunes of the Child Ballads' vol. 1 (B. H. Bronson & F. J. Child, 1959) pp. 276-296",http://www.tobarandualchais.co.uk/fullrecord/40012/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.008,The Cruel Mother,,"Infanticide ballad in which a mother kills her newborn babies and their ghosts appear and condemn her to Hell.

Learned from Lizzie Higgins.",TRUE,FALSE,TRUE,FALSE,ID020,Ray,Fisher,Glasgow,55.864237,-4.251806,,,,Stephanie Smith Perrin,1987.04.01,School of Scottish Studies Sound Archive SA1987.090,Glasgow,55.864237,-4.251806,,,,,,,9,193; 194; 1910,20,,,http://www.tobarandualchais.co.uk/fullrecord/83648/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.009,The Cruel Mother,,"Irish version of an infanticide ballad in which a mother kills her newborn babies and is later arrested by the police.

Andrew Stewart learned the song while living in Ireland. He gives further biographical information about himself.",TRUE,FALSE,FALSE,FALSE,ID083,Andrew,Stewart,Birnam,56.55805,-3.576425,,,,Hamish Henderson,1955,School of Scottish Studies Sound Archive SA1955.152.B1,Birnam,56.55805,-3.576425,,,,,,,9,193; 194; 1910,20,,,http://www.tobarandualchais.co.uk/fullrecord/11907/1,,,
The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,,,LV002,,,LV002.010,The Cruel Mother,,Infanticide ballad in which a mother kills her newborn babies. Their ghosts later appear and condemn her to Hell.,TRUE,FALSE,TRUE,FALSE,ID085,Elizabeth,Stewart,Fetterangus,57.553105,-2.015331,,,,Peter R. Cooke & Akiko Takamatsu,1987.02.25,School of Scottish Studies Sound Archive SA1987.15.3,Fetterangus,57.553105,-2.015331,,,,,,,9,193; 194; 1910,20,,,http://www.tobarandualchais.co.uk/fullrecord/80473/1,,,
